id,count
12597185,1
12602114,3
12602116,1
12591813,8
12602119,3
12602122,12
12602124,49
2346573,18
12602126,12
12602127,2
12602139,13
7153308,3
12597155,4
12578024,88
12578026,7
2346567,1
22525998,16
12602098,1
12591860,1
12602102,1
12602104,10
12591802,1
12602107,11
