Author,Title,Place of Publication,Year,Printer,Genre
"Lope de Vega Carpio, Fenix",Comedias parte IV,Barcelona,1614,Cormellas,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte IV,Pamplona,1614,Assiayn,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte V,Alcala,1615,Martinez,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte V,Barcelona,1616,,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte V,Barcelona,1617,,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte VI,Madrid,1615,Martin,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte VI,Madrid,1616,Cuesta,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte VI,Barcelona,1616,Cormellas,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte VII,Madrid,1617,,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte VII,Barcelona,1617,Cormellas,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte VIII,Madrid,1617,Martin,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte VIII,Barcelona,1617,Cormellas,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte IX,Madrid,1617,Martin,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte IX,Madrid,1618,,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte IX,Barcelona,1618,Cormellas,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte X,Madrid,1618,Martin,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte X,Barcelona,1618,Cormellas,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte XI,Madrid,1618,Martin,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte XI,Barcelona,1618,Cormellas,Theatre
,Norte de la poesia espanola,Valencia,1616,Mey,Theatre
"Suarez de Figueroa, Cristobal",El Pastor Fido,Valencia,1609,Mey,Theatre
